#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,polkit,"manages user policies."
,doas,"performs actions as root on openbsd."
,linuxlibertine-fonts-ttf,"provides the sans and serif fonts for LARBS."
,font-awesome,"provides extended glyph support."
,lf,"is an extensive terminal file manager that everyone likes."
#UEBERZUG DOES NOT WORK ON OPENBSD TO MY KNOWlEDGE
#,ueberzug,"enables previews in the lf file manager."
#XCOMPMGR IS NOT AVAILABLE FOR OPENBSD - PICOM IS
#,xcompmgr,"is for transparency and removing screen-tearing."
,harfbuzz,"allows the suckless terminal to compile."
,picom,"is for transparency and removing screen-tearing."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-fuse,"allows management of FAT drives."
,nsxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,gnome-keyring,"serves as the system keyring."
#NEEDS TO BE INSTALLED MANUALLY??
#A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
#,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
#ONLY FIREFOX IS IN REPOS DUE TO NEEDING CUSTOM PATCHES
#A,librewolf-bin,"the default browser of LARBS which also comes with ad-blocking and other sensible and necessary features by default."
,firefox,"is a browser."
,noto-fonts,"is an expansive font package."
,noto-emoji,"is an emoji font."
,ntfs_3g,"allows accessing NTFS partitions."
,cmixer,"is an audio controller."
R,sysutils/sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
#,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
#,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,bat,"can highlight code output and display files."
,xdimmer,"enables changing screen brightness levels."
,zsh-syntax-highlighting,"provides syntax highlighting in the shell."
#A,task-spooler,"queues commands or files for download."
,simple-mtpfs,"enables the mounting of cell phones."
R,sysutils/htop-vim,"is a graphical and colorful system monitor."
#DWMBlocks emojis do not work on OpenBSD to my knowledge
#R,x11/dwmblocks-luke,"serves as the modular status bar."
R,x11/dmenu-luke,"runs commands and provides a UI for selection."
R,x11/st-luke,"is my custom build of suckless's terminal emulator."
R,x11/dwm-luke"is the window manager."
#A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
